Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
41505.0,-16.526506,8.584971,-18.649853,9.505593,-13.793818,-2.8324044,-16.701694,7.517344,-8.507059,-14.110185,5.2992363,-10.834006,1.6711203,-9.373858,0.36080563,-9.899246,-19.236292,-8.398552,3.1017354,-1.5149235,1.1907387,-1.12767,-2.3585787,0.6734613,-1.4136996,-0.46276236,-2.0185752,-1.0428041,364.19,1
44261.0,0.33981207,-2.7437453,-0.13406952,-1.3857293,-1.4514133,1.0158865,-0.5243791,0.22406037,0.899746,-0.5650117,-0.08767026,0.979427,0.07688282,-0.21788381,-0.13682958,-2.1428921,0.12695606,1.7526615,0.43254623,0.5060439,-0.21343584,-0.942525,-0.52681917,-1.1569918,0.3112105,-0.7466467,0.040995803,0.102037825,520.12,0
35484.0,1.3995903,-0.5907013,0.16861895,-1.0299504,-0.5398064,0.040444113,-0.7125667,0.0022985938,-0.9717471,0.75680053,0.54382735,0.11245297,1.0753835,-0.24577199,0.1804828,1.76986,-0.53317225,-0.53330034,1.1922452,0.2128772,0.102397695,0.16826934,-0.16663909,-0.8102497,0.5050831,-0.23234001,0.011408646,0.0046341415,31.0,0
167123.0,-0.43207115,1.6478952,-1.6693606,-0.34950426,0.7857847,-0.6306467,0.27699012,0.5860245,-0.4847152,-1.3766483,-1.3283355,0.22362068,1.132627,-0.5508754,0.6165679,0.49797416,0.5021955,0.98134273,0.10126397,-0.24463332,0.35893157,0.8736632,-0.17864181,-0.017170772,-0.20739171,-0.15775643,-0.23738599,0.0019341239,1.5,0
168473.0,2.0141604,-0.13739403,-1.015839,0.32726896,-0.18217933,-0.95657057,0.04324084,-0.16074598,0.3632412,0.2594519,0.942162,0.85003763,-0.6161655,0.59263384,-0.6038454,0.091077246,-0.47186667,-0.33381638,0.40471134,-0.25529298,-0.23864384,-0.6164005,0.34704456,0.061561167,-0.3601956,0.17473002,-0.07804345,-0.070570506,0.89,0
67878.0,-0.6413297,-0.057303872,1.4899983,-1.688131,-1.1510427,0.25999588,-1.3910694,-2.3340752,1.1686436,-2.08408,0.4803813,0.47373837,-2.1922755,0.77394193,0.29448366,0.4060745,-0.54185486,1.0314497,0.017075839,0.6184107,-1.231634,0.25716418,-0.371953,-0.038566083,1.3975136,-0.6659469,0.03100304,0.18035665,100.0,0
159763.0,2.0239518,-0.120139755,-1.0869184,0.42301914,-0.14290139,-1.127752,0.17849344,-0.30323353,0.5645092,0.062830724,-0.7200471,0.36683512,-0.11085696,0.31909373,0.10835916,-0.15363333,-0.22131236,-0.9341414,0.07055274,-0.21086448,-0.27617493,-0.69770837,0.33563134,-0.017196365,-0.3249037,0.20002317,-0.071566,-0.058223877,16.99,0
139631.0,-0.6889436,1.2921535,-0.5642814,-1.4575256,2.258333,-0.3232705,1.6789844,-0.104127884,-1.2853508,-1.3034347,0.28272822,-0.40252507,-0.54868746,-0.5042833,-0.6853393,0.7148281,-0.09267364,0.798953,-0.15008533,-0.0371504,-0.006879527,-0.17156751,-0.7200195,-0.4194353,1.2119907,0.6709156,-0.10398632,0.030084198,8.95,0
133944.0,2.1193626,0.14263923,-2.3733373,0.54194856,0.6084188,-1.775564,0.9557745,-0.5993829,0.010419794,0.29530478,-0.93656915,-0.45247754,-1.3407985,1.0774586,-0.09958364,-0.81507236,0.018481087,-0.6394462,-0.065426715,-0.32357314,0.26426405,0.8982659,-0.16806272,0.059311174,0.62694895,0.7290355,-0.12911965,-0.094713345,10.0,0
58769.0,-5.5842557,-4.732413,-0.44845173,-0.12144231,-0.7074119,-0.1143759,-1.5546281,1.4021256,-0.03169317,-0.94235814,-2.4395015,-0.552312,-0.29558772,-0.25024608,-1.1977316,1.5495527,0.9332367,-1.2376895,0.4168316,-1.0469,0.041650742,0.62178904,0.2234666,-0.7701371,0.6211822,-0.028737912,0.5051943,-1.8983228,101.49,0
81055.0,-1.5930024,0.7568029,1.2740024,0.2441267,0.3350449,0.27288637,0.38954183,0.67694384,-0.5795386,-0.8194363,0.36219275,0.43674487,-1.1489693,0.5731265,-1.2152178,-0.13003622,-0.086951695,-0.11653319,-0.37348878,-0.29318392,0.031681262,-0.06335515,-0.26892814,-0.32118598,0.68149984,-0.39028707,-0.19515793,-0.039483488,43.5,0
149357.0,1.911979,-0.5330744,-1.8787439,-0.47889063,1.7750199,3.8078659,-1.3492976,1.1166371,1.3298653,-0.6667502,0.2553456,0.28683478,-0.021013087,-1.2777954,1.4024212,0.71241885,0.20988977,0.62331235,-0.60231066,-0.07121001,-0.015567077,0.010344141,0.28796288,0.58244616,-0.35826394,-0.41507855,0.08724855,-0.003321665,21.61,0
